Model_Name,Rating,Ram(GB),ROM(GB),Screen_Size(in CM),Rear_Camera(MP),Front_Camera(MP),Battery(MaH),Processer,Price,Link_Of_Product
realme 12 Pro+ 5G,4.6,12 , 256,17.02 cm,50MP,32MP,5000,Snapdragon,"33,999",https://www.flipkart.com/realme-12-pro-5g-navigator-beige-256-gb/p/itm7f042fb6aebdb?pid=MOBGWH8STKHPCKGN&lid=LSTMOBGWH8STKHPCKGNZGIONJ&marketplace=FLIPKART&q=phones&store=tyy%2F4io&otracker=search&otracker1=search&iid=en_CoNwk2dVE9K4j2YQHn6kZX25fNb-Cb5wLF5ipYz1xmKRQgH-bbvp9Rkk-Lj1otXfp0QL1N4jrPbQUOfPx77abQ%3D%3D&ssid=0h5m8senv40000001707474698942&qH=28388ea49f54c5b8
realme 12 Pro 5G,4.5,8 , 256,17.02 cm,50MP,16MP,5000,Snapdragon,"26,999",https://www.flipkart.com/realme-12-pro-5g-navigator-beige-256-gb/p/itmcc78f150eeabd?pid=MOBGWH8SSGEEZRDA&lid=LSTMOBGWH8SSGEEZRDAM6ZCMA&marketplace=FLIPKART&q=phones&store=tyy%2F4io&otracker=search&otracker1=search&iid=en_CoNwk2dVE9K4j2YQHn6kZX25fNb-Cb5wLF5ipYz1xmLUhcZpSNMUUIpA_lMP8E6mbsH6kwBwCD2yp0xOGgDpqg%3D%3D&ssid=0h5m8senv40000001707474698942&qH=28388ea49f54c5b8
vivo T2x 5G,4.4,6 , 128,16.71 cm,50MP,8MP,5000,Dimensity,"12,999",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUF389GDMP&lid=LSTMOBGZBFUF389GDMPYKMTEO&marketplace=FLIPKART&q=phones&store=tyy%2F4io&otracker=search&otracker1=search&iid=fea61d80-5be6-4dff-8227-6649a894dc51.MOBGZBFUF389GDMP.SEARCH&ssid=0h5m8senv40000001707474698942&qH=28388ea49f54c5b8
vivo T2x 5G,4.4,6 , 128,16.71 cm,50MP,8MP,5000,Dimensity,"12,999",https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUFNDXSGHS&lid=LSTMOBGZBFUFNDXSGHSMEZSSN&marketplace=FLIPKART&q=phones&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&otracker=search&otracker1=search&iid=fea61d80-5be6-4dff-8227-6649a894dc51.MOBGZBFUFNDXSGHS.SEARCH&ssid=0h5m8senv40000001707474698942&qH=28388ea49f54c5b8
vivo T2x 5G,4.4,6 , 128,16.71 cm,50MP,8MP,5000,Dimensity,"12,999",https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFU4HBKKFSN&lid=LSTMOBGZBFU4HBKKFSNXXMXTS&marketplace=FLIPKART&q=phones&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&otracker=search&otracker1=search&iid=fea61d80-5be6-4dff-8227-6649a894dc51.MOBGZBFU4HBKKFSN.SEARCH&ssid=0h5m8senv40000001707474698942&qH=28388ea49f54c5b8
vivo T2x 5G,4.4,4 , 128,16.71 cm,50MP,8MP,5000,Dimensity,"11,999",https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUPTU7DNCA&lid=LSTMOBGZBFUPTU7DNCALOZWX1&marketplace=FLIPKART&q=phones&store=tyy%2F4io&otracker=search&otracker1=search&iid=fea61d80-5be6-4dff-8227-6649a894dc51.MOBGZBFUPTU7DNCA.SEARCH&ssid=0h5m8senv40000001707474698942&qH=28388ea49f54c5b8
vivo T2x 5G,4.4,4 , 128,16.71 cm,50MP,8MP,5000,Dimensity,"11,999",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZDW5JHYW&lid=LSTMOBGZBFUZDW5JHYWRCDY5W&marketplace=FLIPKART&q=phones&store=tyy%2F4io&otracker=search&otracker1=search&iid=fea61d80-5be6-4dff-8227-6649a894dc51.MOBGZBFUZDW5JHYW.SEARCH&ssid=0h5m8senv40000001707474698942&qH=28388ea49f54c5b8
vivo T2x 5G,4.3,8 , 128,16.71 cm,50MP,8MP,5000,Dimensity,"14,999",https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZHRYUKVR&lid=LSTMOBGZBFUZHRYUKVRNME6VW&marketplace=FLIPKART&q=phones&store=tyy%2F4io&otracker=search&otracker1=search&iid=fea61d80-5be6-4dff-8227-6649a894dc51.MOBGZBFUZHRYUKVR.SEARCH&ssid=0h5m8senv40000001707474698942&qH=28388ea49f54c5b8
POCO C51,4,4 , 64 ,16.56 cm,8MP,5MP,5000,Helio,"5,499",https://www.flipkart.com/poco-c51-royal-blue-64-gb/p/itm1e4e8373537a7?pid=MOBGZCQFCWNDK89P&lid=LSTMOBGZCQFCWNDK89POEPN6S&marketplace=FLIPKART&q=phones&store=tyy%2F4io&otracker=search&otracker1=search&iid=fea61d80-5be6-4dff-8227-6649a894dc51.MOBGZCQFCWNDK89P.SEARCH&ssid=0h5m8senv40000001707474698942&qH=28388ea49f54c5b8
vivo T2x 5G,4.3,8 , 128,16.71 cm,50MP,8MP,5000,Dimensity,"14,999",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZEMCKRGE&lid=LSTMOBGZBFUZEMCKRGEW3VLBC&marketplace=FLIPKART&q=phones&store=tyy%2F4io&otracker=search&otracker1=search&iid=fea61d80-5be6-4dff-8227-6649a894dc51.MOBGZBFUZEMCKRGE.SEARCH&ssid=0h5m8senv40000001707474698942&qH=28388ea49f54c5b8
Motorola G34 5G,4.2,8 , 128,16.51 cm,50MP,16MP,5000,Snapdragon,"11,999",https://www.flipkart.com/motorola-g34-5g-ocean-green-128-gb/p/itm6b1a33b9d9191?pid=MOBGUFK4TZ2CJYHJ&lid=LSTMOBGUFK4TZ2CJYHJPBUF6M&marketplace=FLIPKART&q=phones&store=tyy%2F4io&otracker=search&otracker1=search&iid=fea61d80-5be6-4dff-8227-6649a894dc51.MOBGUFK4TZ2CJYHJ.SEARCH&ssid=0h5m8senv40000001707474698942&qH=28388ea49f54c5b8
